nohup: ignoring input
Images: 1803460. Masks: 12000
Images: 36500. Masks: 12000
[TRAIN] Epoch[1(1/225432)]; Loss_G:5.061445; Loss_D:0.687769; PSNR:3.2998; time:18.4671 sec
[TRAIN] Epoch[1(20/225432)]; Loss_G:2.635709; Loss_D:0.688101; PSNR:13.3744; time:1.1635 sec
[TRAIN] Epoch[1(40/225432)]; Loss_G:2.109386; Loss_D:0.688847; PSNR:15.3045; time:0.9742 sec
[TRAIN] Epoch[1(60/225432)]; Loss_G:1.413974; Loss_D:0.690640; PSNR:17.4600; time:1.0696 sec
[TRAIN] Epoch[1(80/225432)]; Loss_G:1.987567; Loss_D:0.693532; PSNR:15.5800; time:1.1108 sec
[TRAIN] Epoch[1(100/225432)]; Loss_G:0.849457; Loss_D:0.692039; PSNR:19.7849; time:0.9074 sec
[TRAIN] Epoch[1(120/225432)]; Loss_G:1.343064; Loss_D:0.690385; PSNR:18.1393; time:1.1026 sec
[TRAIN] Epoch[1(140/225432)]; Loss_G:1.488992; Loss_D:0.688934; PSNR:17.3537; time:1.1118 sec
[TRAIN] Epoch[1(160/225432)]; Loss_G:0.786700; Loss_D:0.691741; PSNR:21.2271; time:0.8875 sec
[TRAIN] Epoch[1(180/225432)]; Loss_G:1.324684; Loss_D:0.687792; PSNR:17.4929; time:1.0800 sec
[TRAIN] Epoch[1(200/225432)]; Loss_G:1.174195; Loss_D:0.688145; PSNR:18.9583; time:1.0084 sec
[TRAIN] Epoch[1(220/225432)]; Loss_G:0.989364; Loss_D:0.688836; PSNR:19.8681; time:0.9181 sec
[TRAIN] Epoch[1(240/225432)]; Loss_G:1.190337; Loss_D:0.682231; PSNR:18.3261; time:0.8736 sec
[TRAIN] Epoch[1(260/225432)]; Loss_G:1.328356; Loss_D:0.683725; PSNR:17.7026; time:1.2557 sec
[TRAIN] Epoch[1(280/225432)]; Loss_G:1.153824; Loss_D:0.679060; PSNR:19.1390; time:1.1168 sec
[TRAIN] Epoch[1(300/225432)]; Loss_G:0.906832; Loss_D:0.679835; PSNR:20.1934; time:0.9127 sec
[TRAIN] Epoch[1(320/225432)]; Loss_G:0.863677; Loss_D:0.682872; PSNR:21.1550; time:1.0306 sec
[TRAIN] Epoch[1(340/225432)]; Loss_G:0.857844; Loss_D:0.678236; PSNR:20.4076; time:0.9246 sec
[TRAIN] Epoch[1(360/225432)]; Loss_G:1.030550; Loss_D:0.680786; PSNR:19.9887; time:1.2158 sec
[TRAIN] Epoch[1(380/225432)]; Loss_G:0.850534; Loss_D:0.677707; PSNR:21.6160; time:1.1195 sec
[TRAIN] Epoch[1(400/225432)]; Loss_G:0.664498; Loss_D:0.691094; PSNR:22.3982; time:0.8311 sec
[TRAIN] Epoch[1(420/225432)]; Loss_G:1.058162; Loss_D:0.677222; PSNR:18.8059; time:0.8406 sec
[TRAIN] Epoch[1(440/225432)]; Loss_G:0.664553; Loss_D:0.687831; PSNR:22.5232; time:1.1387 sec
[TRAIN] Epoch[1(460/225432)]; Loss_G:1.001868; Loss_D:0.674804; PSNR:19.8704; time:0.9966 sec
[TRAIN] Epoch[1(480/225432)]; Loss_G:0.792455; Loss_D:0.690922; PSNR:21.5582; time:0.9207 sec
[TRAIN] Epoch[1(500/225432)]; Loss_G:0.930177; Loss_D:0.672088; PSNR:19.8199; time:1.0860 sec
[TRAIN] Epoch[1(520/225432)]; Loss_G:0.612101; Loss_D:0.688555; PSNR:23.2178; time:0.9529 sec
[TRAIN] Epoch[1(540/225432)]; Loss_G:1.152070; Loss_D:0.667929; PSNR:19.2360; time:1.1632 sec
[TRAIN] Epoch[1(560/225432)]; Loss_G:1.033514; Loss_D:0.682800; PSNR:20.0915; time:1.1593 sec
[TRAIN] Epoch[1(580/225432)]; Loss_G:0.591299; Loss_D:0.686007; PSNR:23.9242; time:1.1145 sec
[TRAIN] Epoch[1(600/225432)]; Loss_G:1.051453; Loss_D:0.669669; PSNR:18.9766; time:0.9068 sec
[TRAIN] Epoch[1(620/225432)]; Loss_G:1.343320; Loss_D:0.680888; PSNR:17.3468; time:1.2617 sec
[TRAIN] Epoch[1(640/225432)]; Loss_G:0.761356; Loss_D:0.675850; PSNR:21.9645; time:1.0801 sec
[TRAIN] Epoch[1(660/225432)]; Loss_G:1.141857; Loss_D:0.669620; PSNR:18.9161; time:0.8332 sec
[TRAIN] Epoch[1(680/225432)]; Loss_G:1.002191; Loss_D:0.672283; PSNR:20.7379; time:0.9954 sec
[TRAIN] Epoch[1(700/225432)]; Loss_G:0.897806; Loss_D:0.674477; PSNR:19.9113; time:1.0244 sec
[TRAIN] Epoch[1(720/225432)]; Loss_G:0.599975; Loss_D:0.689408; PSNR:22.3135; time:0.9888 sec
[TRAIN] Epoch[1(740/225432)]; Loss_G:0.961307; Loss_D:0.665401; PSNR:19.8293; time:1.1841 sec
[TRAIN] Epoch[1(760/225432)]; Loss_G:1.055443; Loss_D:0.678402; PSNR:17.9186; time:0.8371 sec
[TRAIN] Epoch[1(780/225432)]; Loss_G:0.779997; Loss_D:0.717771; PSNR:21.8791; time:1.0904 sec
[TRAIN] Epoch[1(800/225432)]; Loss_G:0.657792; Loss_D:0.685598; PSNR:22.9885; time:1.1278 sec
[TRAIN] Epoch[1(820/225432)]; Loss_G:0.678069; Loss_D:0.693583; PSNR:22.3975; time:1.2198 sec
[TRAIN] Epoch[1(840/225432)]; Loss_G:0.710315; Loss_D:0.671814; PSNR:22.3374; time:0.8598 sec
[TRAIN] Epoch[1(860/225432)]; Loss_G:0.640533; Loss_D:0.683971; PSNR:23.3280; time:1.1947 sec
[TRAIN] Epoch[1(880/225432)]; Loss_G:0.535030; Loss_D:0.693340; PSNR:24.4659; time:1.0135 sec
[TRAIN] Epoch[1(900/225432)]; Loss_G:0.534851; Loss_D:0.691661; PSNR:23.8783; time:0.9387 sec
[TRAIN] Epoch[1(920/225432)]; Loss_G:1.196078; Loss_D:0.663274; PSNR:18.5887; time:1.3802 sec
[TRAIN] Epoch[1(940/225432)]; Loss_G:1.096635; Loss_D:0.659993; PSNR:19.9832; time:1.0184 sec
[TRAIN] Epoch[1(960/225432)]; Loss_G:0.977257; Loss_D:0.671098; PSNR:18.5848; time:0.8774 sec
[TRAIN] Epoch[1(980/225432)]; Loss_G:0.895890; Loss_D:0.664910; PSNR:20.4237; time:0.9519 sec
[TRAIN] Epoch[1(1000/225432)]; Loss_G:1.029578; Loss_D:0.667467; PSNR:18.9450; time:0.9651 sec
[TRAIN] Epoch[1(1020/225432)]; Loss_G:0.649834; Loss_D:0.671693; PSNR:22.0654; time:0.9835 sec
[TRAIN] Epoch[1(1040/225432)]; Loss_G:0.999165; Loss_D:0.651156; PSNR:20.2719; time:1.1508 sec
[TRAIN] Epoch[1(1060/225432)]; Loss_G:0.605326; Loss_D:0.697120; PSNR:22.4258; time:1.1342 sec
[TRAIN] Epoch[1(1080/225432)]; Loss_G:0.773961; Loss_D:0.677967; PSNR:21.7802; time:1.0352 sec
[TRAIN] Epoch[1(1100/225432)]; Loss_G:0.671213; Loss_D:0.688122; PSNR:21.8994; time:0.9988 sec
[TRAIN] Epoch[1(1120/225432)]; Loss_G:0.879865; Loss_D:0.662101; PSNR:20.9259; time:1.0720 sec
[TRAIN] Epoch[1(1140/225432)]; Loss_G:0.711704; Loss_D:0.665497; PSNR:22.1012; time:1.0500 sec
[TRAIN] Epoch[1(1160/225432)]; Loss_G:0.708040; Loss_D:0.683462; PSNR:21.7792; time:1.1919 sec
[TRAIN] Epoch[1(1180/225432)]; Loss_G:0.689390; Loss_D:0.689924; PSNR:22.2637; time:0.9678 sec
[TRAIN] Epoch[1(1200/225432)]; Loss_G:0.911935; Loss_D:0.667745; PSNR:20.5916; time:0.9643 sec
[TRAIN] Epoch[1(1220/225432)]; Loss_G:1.090144; Loss_D:0.663999; PSNR:19.6487; time:1.2191 sec
[TRAIN] Epoch[1(1240/225432)]; Loss_G:0.692490; Loss_D:0.679174; PSNR:22.5562; time:1.1429 sec
[TRAIN] Epoch[1(1260/225432)]; Loss_G:1.091354; Loss_D:0.668607; PSNR:18.6675; time:1.0133 sec
[TRAIN] Epoch[1(1280/225432)]; Loss_G:0.486108; Loss_D:0.698170; PSNR:23.7400; time:1.1650 sec
[TRAIN] Epoch[1(1300/225432)]; Loss_G:0.543954; Loss_D:0.691923; PSNR:23.5676; time:1.0127 sec
[TRAIN] Epoch[1(1320/225432)]; Loss_G:0.974673; Loss_D:0.679983; PSNR:19.4749; time:0.8611 sec
[TRAIN] Epoch[1(1340/225432)]; Loss_G:0.799713; Loss_D:0.664081; PSNR:21.5510; time:1.2481 sec
[TRAIN] Epoch[1(1360/225432)]; Loss_G:0.692363; Loss_D:0.674707; PSNR:21.5011; time:1.0990 sec
